iter	Passed	Remaining
704	22793	9537
705	22834	9508
706	22869	9477
707	22905	9447
708	22945	9417
709	22981	9386
710	23020	9357
711	23056	9326
712	23096	9296
713	23134	9266
714	23174	9237
715	23210	9206
716	23245	9174
717	23278	9142
718	23313	9111
719	23348	9080
720	23383	9048
721	23417	9016
722	23451	8984
723	23485	8953
724	23520	8921
725	23554	8889
726	23586	8857
727	23619	8825
728	23653	8793
729	23687	8761
730	23725	8730
731	23764	8700
732	23826	8678
733	23874	8652
734	23917	8623
735	23956	8593
736	23992	8561
737	24027	8529
738	24061	8498
739	24096	8466
740	24131	8434
741	24164	8402
742	24198	8370
743	24233	8338
744	24271	8307
745	24315	8278
746	24365	8252
747	24413	8224
748	24454	8194
749	24499	8166
750	24545	8138
751	24588	8108
752	24633	8080
753	24680	8052
754	24724	8023
755	24803	8005
756	24896	7991
757	24944	7963
758	24989	7934
759	25035	7905
760	25078	7876
761	25122	7846
762	25166	7817
763	25209	7787
764	25254	7757
765	25296	7727
766	25334	7696
767	25371	7664
768	25409	7632
769	25446	7600
770	25487	7570
771	25523	7538
772	25557	7505
773	25591	7472
774	25627	7440
775	25663	7407
776	25697	7375
777	25731	7342
778	25766	7309
779	25800	7276
780	25835	7244
781	25879	7214
782	25921	7183
783	25963	7153
784	26004	7122
785	26042	7090
786	26078	7058
787	26116	7026
788	26152	6993
789	26188	6961
790	26222	6928
791	26254	6895
792	26290	6862
793	26327	6830
794	26369	6799
795	26416	6770
796	26460	6739
797	26512	6711
798	26556	6680
799	26600	6650
800	26638	6618
801	26675	6585
802	26711	6553
803	26747	6520
804	26782	6487
805	26816	6454
806	26853	6422
807	26888	6389
808	26926	6357
809	26975	6327
810	27022	6297
811	27069	6267
812	27116	6237
813	27155	6205
814	27196	6173
815	27235	6141
816	27274	6109
817	27312	6076
818	27350	6044
819	27386	6011
820	27421	5978
821	27457	5945
822	27495	5913
823	27533	5880
824	27570	5848
825	27614	5817
826	27671	5788
827	27723	5758
828	27782	5730
829	27834	5701
830	27884	5670
831	27925	5638
832	27963	5606
833	27998	5572
834	28036	5540
835	28072	5507
836	28108	5473
837	28144	5440
838	28182	5408
839	28216	5374
840	28249	5340
841	28282	5307
842	28316	5273
843	28351	5240
844	28384	5206
845	28421	5173
846	28455	5140
847	28489	5106
848	28523	5073
849	28558	5039
850	28593	5006
851	28627	4972
852	28660	4939
853	28695	4905
854	28729	4872
855	28762	4838
856	28798	4805
857	28833	4772
858	28865	4738
859	28899	4704
860	28932	4670
861	28965	4637
862	29001	4603
863	29033	4570
864	29065	4536
865	29098	4502
866	29132	4468
867	29166	4435
868	29200	4401
869	29235	4368
870	29269	4335
871	29303	4301
872	29337	4267
873	29374	4234
874	29414	4202
875	29456	4169
876	29495	4136
877	29538	4104
878	29582	4072
879	29623	4039
880	29660	4006
881	29704	3974
882	29738	3940
883	29772	3906
884	29807	3873
885	29840	3839
886	29875	3806
887	29910	3772
888	29942	3738
889	29979	3705
890	30017	3672
891	30058	3639
892	30173	3615
893	30229	3584
894	30268	3551
895	30305	3517
896	30341	3483
897	30377	3450
898	30413	3416
899	30448	3383
900	30484	3349
901	30518	3315
902	30553	3282
903	30596	3249
904	30642	3216
905	30688	3184
