Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
7493,TOYOTA,AXIO WXB,2018,1500.0,Automatic,Petrol,77000.0,Pannipitiya,2025-01-08,Ongoing Lease,USED,Available,Available,Available,Available,156.0
7627,TOYOTA,CAMRY G LIMITED,2007,2400.0,Automatic,Petrol,198000.0,Negombo,2024-12-30,No Leasing,USED,Available,Available,Available,Available,79.0
2971,NISSAN,HB11,1984,1500.0,Manual,Petrol,451000.0,Bentota,2025-02-03,No Leasing,USED,Available,Not_Available,Not_Available,Available,7.45
5903,SUZUKI,WAGON R,2018,658.0,Automatic,Hybrid,77000.0,Kottawa,2024-12-13,No Leasing,USED,Available,Available,Available,Available,66.5
8577,TOYOTA,PREMIO,2013,1611.0,Automatic,Petrol,132000.0,Anuradapura,2025-01-24,No Leasing,USED,Available,Available,Available,Available,129.13888888888889
4207,SUZUKI,ALTO,2011,800.0,Manual,Petrol,154000.0,Gampaha,2025-01-17,No Leasing,USED,Available,Available,Not_Available,Not_Available,26.2945945945946
3218,NISSAN,N16,2000,1500.0,Manual,Petrol,275000.0,Colombo,2025-02-04,No Leasing,USED,Available,Available,Available,Available,33.5
1391,KIA,PICANTO,2016,1000.0,Automatic,Petrol,99000.0,Piliyandala,2024-12-07,No Leasing,NEW,Available,Available,Available,Available,57.9
3975,RENAULT,KWID,2016,800.0,Manual,Petrol,99000.0,Kuliyapitiya,2025-02-02,No Leasing,USED,Available,Available,Not_Available,Available,32.1625
4316,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Polonnaruwa,2025-01-05,No Leasing,USED,Available,Available,Not_Available,Available,32.25
6389,SUZUKI,WAGON R STINGRAY,2017,660.0,Automatic,Petrol,88000.0,Kandy,2024-12-22,No Leasing,USED,Available,Available,Available,Available,69.5
6997,TOYOTA,AQUA,2014,1500.0,Automatic,Hybrid,121000.0,Kandy,2025-01-24,No Leasing,USED,Available,Available,Available,Available,79.5
7094,TOYOTA,AQUA G,2013,1500.0,Automatic,Petrol,132000.0,Avissawella,2025-01-10,No Leasing,USED,Available,Available,Available,Available,71.0
83,BMW,318I,2017,1500.0,Automatic,Petrol,88000.0,Colombo,2025-02-04,No Leasing,USED,Available,Not_Available,Available,Available,220.0
873,HONDA,FIT GP5 S GRADE,2014,1500.0,Automatic,Hybrid,121000.0,Hambantota,2024-12-19,No Leasing,USED,Available,Available,Available,Available,83.39333333333333
9400,TOYOTA,VITZ,2016,1000.0,Automatic,Petrol,99000.0,Colombo,2024-12-26,No Leasing,USED,Available,Available,Available,Available,77.56627906976743
7278,TOYOTA,AXIO,2013,1500.0,Automatic,Hybrid,132000.0,Kurunegala,2025-02-02,No Leasing,USED,Available,Available,Available,Available,92.0
4557,SUZUKI,ALTO 800 LXI,2015,796.0,Manual,Petrol,110000.0,Malabe,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Available,34.9
4500,SUZUKI,ALTO 800,2011,800.0,Manual,Petrol,154000.0,Kottawa,2025-02-02,No Leasing,USED,Available,Available,Not_Available,Not_Available,28.65000000000001
4647,SUZUKI,ALTO JAPAN,2016,650.0,Automatic,Petrol,99000.0,Dehiwala-Mount-Lavinia,2025-01-05,No Leasing,USED,Available,Available,Not_Available,Available,54.5
2038,MICRO,TREND,2010,1075.0,Automatic,Petrol,165000.0,Negombo,2025-02-01,No Leasing,USED,Available,Available,Not_Available,Available,15.6
9488,TOYOTA,VITZ,2015,1077.0,Automatic,Petrol,110000.0,Hambantota,2024-12-08,No Leasing,USED,Available,Available,Available,Available,76.5
6589,TATA,NANO,2015,650.0,Manual,Petrol,110000.0,Nugegoda,2025-01-17,No Leasing,USED,Available,Available,Not_Available,Not_Available,17.95
2450,NISSAN,B11,1983,1500.0,Manual,Petrol,462000.0,Warakapola,2024-12-17,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,7.48
3954,PROTON,SAVVY,2008,1300.0,Automatic,Petrol,187000.0,Welimada,2024-12-07,Ongoing Lease,USED,Available,Available,Not_Available,Available,27.0
2329,MITSUBISHI,LANCER WAGON,1980,1400.0,Manual,Petrol,495000.0,Galle,2025-01-31,No Leasing,USED,Available,Available,Not_Available,Not_Available,9.9
8929,TOYOTA,SOLUNA,2001,1500.0,Manual,Petrol,264000.0,Kelaniya,2025-01-03,No Leasing,USED,Available,Available,Not_Available,Not_Available,23.9
