Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
7498,TOYOTA,AXIO WXB,2017,1490.0,Automatic,Hybrid,88000.0,Colombo,2025-01-20,No Leasing,USED,Available,Available,Available,Available,127.9
402,FORD,LASER,1996,1600.0,Manual,Petrol,319000.0,Kuliyapitiya,2025-02-04,No Leasing,USED,Available,Available,Available,Available,12.75
332,DAIHATSU,MIRA SAFETY,2016,650.0,Automatic,Petrol,99000.0,Galle,2024-12-19,No Leasing,USED,Available,Available,Available,Available,54.675
2084,MITSUBISHI,ATTRAGE,2016,1290.0,Automatic,Petrol,99000.0,Battaramulla,2025-02-05,No Leasing,USED,Available,Available,Available,Available,75.9
6516,SUZUKI,ZEN ESTILO,2010,998.0,Manual,Petrol,165000.0,Colombo,2024-12-27,No Leasing,USED,Available,Available,Not_Available,Available,31.5
164,CHERY,QQ,2010,812.0,Automatic,Petrol,165000.0,Colombo,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Not_Available,18.375
8730,TOYOTA,PREMIO G SUPERIOR,2012,1490.0,Automatic,Petrol,143000.0,Kurunegala,2025-01-19,No Leasing,USED,Available,Available,Available,Available,117.0
7038,TOYOTA,AQUA,2013,1500.0,Automatic,Hybrid,132000.0,Kalutara,2024-12-25,No Leasing,USED,Available,Available,Available,Available,69.5
7891,TOYOTA,COROLLA 121,2002,1500.0,Automatic,Petrol,253000.0,Piliyandala,2025-01-14,No Leasing,USED,Available,Available,Available,Available,49.75
6718,TOYOTA,ALLION,2014,1500.0,Automatic,Petrol,121000.0,Pannipitiya,2025-02-05,No Leasing,USED,Available,Available,Available,Available,125.9
1334,ISUZU,JT600 GEMINI,1989,1500.0,Manual,Diesel,396000.0,Gampaha,2025-01-15,No Leasing,USED,Available,Available,Available,Not_Available,10.5
9307,TOYOTA,VITZ,2010,1000.0,Automatic,Petrol,165000.0,Matara,2025-01-06,No Leasing,USED,Available,Available,Available,Not_Available,58.9
1659,MERCEDES-BENZ,C180,2011,1800.0,Automatic,Petrol,154000.0,Dompe,2025-01-26,No Leasing,USED,Available,Available,Available,Available,119.5
753,HONDA,FIT GP5,2014,1490.0,Automatic,Hybrid,121000.0,Kolonnawa,2025-02-03,No Leasing,USED,Available,Available,Available,Available,77.3
9624,TOYOTA,VITZ SAFETY EDITION,2017,1000.0,Automatic,Petrol,88000.0,Matara,2025-02-05,No Leasing,USED,Available,Available,Available,Available,80.0
706,HONDA,FIT GP1,2013,1330.0,Automatic,Hybrid,132000.0,Colombo,2024-12-15,No Leasing,USED,Available,Available,Available,Available,69.81111111111112
5814,SUZUKI,WAGON R,2018,600.0,Automatic,Hybrid,77000.0,Dankotuwa,2025-01-25,No Leasing,USED,Available,Available,Available,Available,68.5
8371,TOYOTA,IST,2002,1300.0,Automatic,Petrol,253000.0,Colombo,2025-01-25,No Leasing,USED,Available,Available,Available,Available,52.0
9665,TOYOTA,WIGO,2017,1000.0,Automatic,Petrol,88000.0,Colombo,2024-12-31,No Leasing,USED,Available,Available,Available,Available,67.0
